year,commune,department,region,type_of_flag,places
2021,AJACCIO,Corse-du-Sud (2A),Corse,port,Port de Plaisance Ajaccio Tino Rossi
2021,ARGELES SUR MER,Pyrénées-Orientales (66),Occitanie,port,Port d'Argelès sur Mer
2021,BANDOL,Var (83),Provence-Alpes-Côte d'Azur,port,Port de Plaisance de Bandol
2021,BARNEVILLE CARTERET,Manche (50),Normandie,port,Port de Barneville Carteret
2021,BASSE-HAM,Moselle (57),Grand Est,port,Nautic'Ham
2021,BELLEGARDE,Gard (30),Occitanie,port,Port de Bellegarde
2021,BESANCON,Doubs (25),Bourgogne-Franche-Comté,port,"Halte de Besançon (Moulin St Paul), Halte de Deluz"
2021,BINIC,Côtes-d'Armor (22),Bretagne,port,Port de Plaisance de Binic
2021,BONIFACIO,Corse-du-Sud (2A),Corse,port,Bonifacio Marina
2021,BORMES LES MIMOSAS,Var (83),Provence-Alpes-Côte d'Azur,port,Port de Bormes les Mimosas
2021,BOUZIGUES,Hérault (34),Occitanie,port,Port de Bouzigues
2021,CALVI,Haute-Corse (2B),Corse,port,Port de Plaisance Xavier Colonna
2021,CANNES,Alpes-Maritimes (06),Provence-Alpes-Côte d'Azur,port,Port Pierre Canto
2021,CANY-BARVILLE,Seine-Maritime (76),Normandie,port,Port de Plaisance de Saint Valéry en Caux
2021,CAP D'AIL,Alpes-Maritimes (06),Provence-Alpes-Côte d'Azur,port,Port de plaisance de Cap d'Ail
2021,CARCASSONNE,Aude (11),Occitanie,port,Port de Carcassonne
2021,CARENTAN,Manche (50),Normandie,port,Port de Plaisance de Carentan
2021,CASSIS,Bouches-du-Rhône (13),Provence-Alpes-Côte d'Azur,port,"Calanque de Port Miou, Port Départemental de Cassis"
2021,CASTELNAUDARY,Aude (11),Occitanie,port,Port de Castelnaudary
2021,CHÂLONS-EN-CHAMPAGNE,Marne (51),Grand Est,port,Relais nautique de l'anse du Jard
2021,CHERBOURG-EN-COTENTIN,Manche (50),Normandie,port,Port de Chantereyne de Cherbourg
2021,COGOLIN,Var (83),Provence-Alpes-Côte d'Azur,port,Port de Plaisance des Marines de Cogolin
2021,COLMAR,Haut-Rhin (68),Grand Est,port,Port de Colmar
2021,CORBIGNY,Nièvre (58),Bourgogne-Franche-Comté,port,Port de la Vauvelle
2021,CROZON,Finistère (29),Bretagne,port,Port de Plaisance de Morgat
2021,DECIZE,Nièvre (58),Bourgogne-Franche-Comté,port,Port de Decize
2021,DIEPPE,Seine-Maritime (76),Normandie,port,Port de Dieppe
2021,DIVES-SUR-MER,Calvados (14),Normandie,port,Port de Dives-Cabourg-Houlgate
2021,DOUARNENEZ,Finistère (20),Bretagne,port,Port de Plaisance de Douarnenez
2021,ETAPLES,Pas-de-Calais (62),Hauts-de-France,port,Port de Plaisance d'Étaples
2021,EVIAN-LES-BAINS,Haute-Savoie (74),Auvergne-Rhône-Alpes,port,Port des Mouettes
2021,FECAMP,Seine-Maritime (76),Normandie,port,Port de Plaisance de Fécamp
2021,FOS SUR MER,Bouches-du-Rhône (13),Provence-Alpes-Côte d'Azur,port,Port de Plaisance Claude Rossi - Pointe Saint Gervais
2021,FREJUS CEDEX,Var (83),Provence-Alpes-Côte d'Azur,port,Port Fréjus
2021,FRONTIGNAN,Hérault (34),Occitanie,port,Port de Plaisance de Frontignan
2021,GIFFAUMONT CHAMPAUBERT,Haute-Marne (52),Grand Est,port,"Port de Nemours, Station nautique de Giffaumont Champaubert, Port de plaisance de Nuisement"
2021,GOLFE-JUAN,Alpes-Maritimes (06),Provence-Alpes-Côte d'Azur,port,Port Camille Rayon du Golfe Juan
2021,GRUISSAN,Aude (11),Occitanie,port,Port de Plaisance de Gruissan
2021,GUIDEL,Morbihan (56),Bretagne,port,Port de Guidel
2021,HYERES LES PALMIERS,Var (83),Provence-Alpes-Côte d'Azur,port,Port Saint Pierre de Hyères les Palmiers
2021,JUAN LES PINS,Alpes-Maritimes (06),Provence-Alpes-Côte d'Azur,port,Port du Croûton
2021,L'ISLE-ADAM,Val-d'Oise (95),Île-de-France,port,Port Isle-Adam
2021,LA BAULE,Loire-Atlantique (44),Pays de la Loire,port,Port La Baule-Le Pouliguen
2021,LA GRANDE MOTTE,Hérault (34),Occitanie,port,Port de La Grande Motte
2021,LA LONDE LES MAURES,Var (83),Provence-Alpes-Côte d'Azur,port,Ports de La Londe
2021,LA ROCHE SUR YON,Vendée (85),Pays de la Loire,port,Port de plaisance de l'Ile d'Yeu
2021,LARMOR-PLAGE,Morbihan (56),Bretagne,port,"Port de Gâvres, Port de plaisance du Kernével"
2021,LE BARCARES,Pyrénées-Orientales (66),Occitanie,port,Port Saint Ange du Barcarès
