year,commune,department,region,type_of_flag,places
2023,Malafretaz,Ain,Auvergne-Rhône-Alpes,beach,Plage Principale
2023,Vieure,Allier,Auvergne-Rhône-Alpes,beach,Plage Du Plan D'Eau De Vieure
2023,Ubaye Serre-Ponçon,Alpes-de-Haute-Provence,Provence-Alpes-Côte d'Azur,beach,Plage De Saint Vincent Les Forts
2023,Antibes,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,beach,Les Groules
2023,Antibes,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,beach,Fontonne Est
2023,Antibes,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,beach,Fontonne Ouest
2023,Antibes,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,beach,Antibes-Les-Pins Est
2023,Antibes,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,beach,Antibes-Les-Pins Ouest
2023,Antibes,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,beach,Marineland
2023,Antibes,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,beach,Fort Carré
2023,Cannes,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,beach,Chantiers Navals
2023,Cannes,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,beach,Trou (Roubine)
2023,Cannes,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,beach,Font De Veyre
2023,Cannes,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,beach,Ile Sainte Marguerite Est
2023,Cannes,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,beach,Ile Sainte Marguerite Ouest
2023,Cannes,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,beach,Rochers De La Bocca
2023,Cannes,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,beach,Saint Georges
2023,Nice,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,beach,Saint Hélène
2023,Saint Martin D'Ardèche,Ardèche,Auvergne-Rhône-Alpes,beach,Plage Du Grain De Sel
2023,Fleury D'Aude,Aude,Occitanie,beach,Les Cabanes De Fleury
2023,Fleury D'Aude,Aude,Occitanie,beach,Saint-Pierre-La-Mer
2023,Gruissan,Aude,Occitanie,beach,Grazel
2023,Gruissan,Aude,Occitanie,beach,Les Chalets
2023,Leucate,Aude,Occitanie,beach,La Franqui
2023,Leucate,Aude,Occitanie,beach,Leucate Plage
2023,Leucate,Aude,Occitanie,beach,Naturistes (Port Leucate)
2023,Leucate,Aude,Occitanie,beach,Le Kyklos
2023,Leucate,Aude,Occitanie,beach,Copacabana (Port Leucate)
2023,Narbonne-Plage,Aude,Occitanie,beach,Plage Du Centre
2023,Narbonne-Plage,Aude,Occitanie,beach,Plage Des Karantes
2023,Narbonne-Plage,Aude,Occitanie,beach,Plage Du Languedoc
2023,Narbonne-Plage,Aude,Occitanie,beach,Plage Du Créneau Naturel
2023,Port La Nouvelle,Aude,Occitanie,beach,Plage Du Front De Mer
2023,Salles-Curan,Aveyron,Occitanie,beach,Plage Des Vernhes 1
2023,Salles-Curan,Aveyron,Occitanie,beach,Plage Des Vernhes 2
2023,Berre L'Etang,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,beach,Plage De Champigny - Quartier Des Merveilles
2023,Cassis,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,beach,Plage Du Bestouan
2023,Cassis,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,beach,Plage De La Grande Mer
2023,Fos Sur Mer,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,beach,Cavaou
2023,Fos Sur Mer,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,beach,Grande Plage
2023,La Ciotat,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,beach,Plage Cyrnos
2023,Marignane,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,beach,Plage Du Jaï Nord
2023,Port De Bouc,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,beach,Bottai
2023,Saint Chamas,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,beach,Plage Des Cabassons
2023,Sausset-Les-Pins,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,beach,Corniche
2023,Colleville Montgomery,Calvados,Normandie,beach,Colleville Plage
2023,Honfleur,Calvados,Normandie,beach,Plage Du Butin
2023,Pont-L'Évêque,Calvados,Normandie,beach,Lac De Pont-L'Évêque
2023,Trémouille,Cantal,Auvergne-Rhône-Alpes,beach,Lastioulles
2023,La Rochelle,Charente-Maritime,Nouvelle-Aquitaine,beach,Chef De Baie
2023,La Rochelle,Charente-Maritime,Nouvelle-Aquitaine,beach,Les Minimes
2023,Le Bois Plage En Ré,Charente-Maritime,Nouvelle-Aquitaine,beach,Gros-Jonc
2023,Le Bois Plage En Ré,Charente-Maritime,Nouvelle-Aquitaine,beach,Les Gollandières
2023,Le Grand Village Plage,Charente-Maritime,Nouvelle-Aquitaine,beach,Plage De La Giraudière
2023,Royan,Charente-Maritime,Nouvelle-Aquitaine,beach,La Grande Conche
2023,Royan,Charente-Maritime,Nouvelle-Aquitaine,beach,Le Chay
2023,Royan,Charente-Maritime,Nouvelle-Aquitaine,beach,Le Pigeonnier
2023,Royan,Charente-Maritime,Nouvelle-Aquitaine,beach,Pontaillac
2023,Royan,Charente-Maritime,Nouvelle-Aquitaine,beach,Foncillon
2023,Saint Trojan Les Bains,Charente-Maritime,Nouvelle-Aquitaine,beach,La Grande Plage
2023,Saint Trojan Les Bains,Charente-Maritime,Nouvelle-Aquitaine,beach,Gatseau
2023,Ambrugeat - Meymac,Corrèze,Nouvelle-Aquitaine,beach,Lac De Séchemailles
2023,Egletons,Corrèze,Nouvelle-Aquitaine,beach,Plage Du Lac
2023,Liginiac,Corrèze,Nouvelle-Aquitaine,beach,Le Maury
2023,Masseret,Corrèze,Nouvelle-Aquitaine,beach,Plan D'Eau Masseret - Lamongerie
2023,Neuvic D'Ussel,Corrèze,Nouvelle-Aquitaine,beach,La Plage
2023,Treignac,Corrèze,Nouvelle-Aquitaine,beach,Plage Des Bariousses
2023,Ajaccio,Corse-du-sud,Corse,beach,Trottel
2023,Ajaccio,Corse-du-sud,Corse,beach,Terre Sacrée
2023,Grosseto-Prugna,Corse-du-sud,Corse,beach,Plage Des Tamaris
2023,Pietrosella,Corse-du-sud,Corse,beach,Plage Du Ruppione
2023,Serra Di Ferro,Corse-du-sud,Corse,beach,Porto Pollo
2023,Arnay Le Duc,Côte-d'or,Bourgogne-Franche-Comté,beach,Fouché
2023,Carsac De Gurson,Dordogne,Nouvelle-Aquitaine,beach,Plage Du Lac De Gurson
2023,La Jemaye-Ponteyraud,Dordogne,Nouvelle-Aquitaine,beach,Plage Du Grand Etang
2023,Saint Estephe,Dordogne,Nouvelle-Aquitaine,beach,Plage Du Grand Etang
2023,Tamnies,Dordogne,Nouvelle-Aquitaine,beach,Etang De Loisirs De Tamniès
2023,Audierne,Finistère,Bretagne,beach,Plage De Trescadec
2023,Audierne,Finistère,Bretagne,beach,Plage De Trez Goarem
2023,Benodet,Finistère,Bretagne,beach,Plage Du Trez
2023,Clohars Carnoët,Finistère,Bretagne,beach,Bellangenet
2023,Clohars Carnoët,Finistère,Bretagne,beach,Grands Sables
2023,Clohars Carnoët,Finistère,Bretagne,beach,Kerrou
2023,Fouesnant-Les Glénan,Finistère,Bretagne,beach,Kerler
2023,Fouesnant-Les Glénan,Finistère,Bretagne,beach,Maner Coat Clevarec
2023,Fouesnant-Les Glénan,Finistère,Bretagne,beach,Kerambigorn
2023,Fouesnant-Les Glénan,Finistère,Bretagne,beach,Cap Coz (Milieu)
2023,Fouesnant-Les Glénan,Finistère,Bretagne,beach,Glenan Saint Nicolas
2023,Le Conquet,Finistère,Bretagne,beach,Pors Liogan
2023,Le Conquet,Finistère,Bretagne,beach,Portez
2023,Le Conquet,Finistère,Bretagne,beach,Blancs Sablons
2023,Moëlan Sur Mer,Finistère,Bretagne,beach,Kerfany
2023,Plouarzel,Finistère,Bretagne,beach,Porsman
2023,Plouhinec,Finistère,Bretagne,beach,Gwendrez
2023,Plouhinec,Finistère,Bretagne,beach,Mesperleuc
2023,Pouldreuzic,Finistère,Bretagne,beach,Penhors
2023,Roscoff,Finistère,Bretagne,beach,Saint Luc (Roch-Kroum)
2023,Saint Pol De Léon,Finistère,Bretagne,beach,Sainte Anne
2023,Le Grau Du Roi,Gard,Occitanie,beach,Le Boucanet
2023,Le Grau Du Roi,Gard,Occitanie,beach,Rive Droite
2023,Le Grau Du Roi,Gard,Occitanie,beach,Rive Gauche
2023,Le Grau Du Roi,Gard,Occitanie,beach,Port Camargue Nord
2023,Le Grau Du Roi,Gard,Occitanie,beach,Port Camargue Sud
2023,Le Grau Du Roi,Gard,Occitanie,beach,Pointe De L'Espiguette
2023,Aignan,Gers,Occitanie,beach,Base De Loisirs Du Lac
2023,Castera Verduzan,Gers,Occitanie,beach,Base De Loisirs
2023,Bordeaux,Gironde,Nouvelle-Aquitaine,beach,Plage Du Lac
2023,Grayan Et L'Hôpital,Gironde,Nouvelle-Aquitaine,beach,Le Gurp
2023,Grayan Et L'Hôpital,Gironde,Nouvelle-Aquitaine,beach,Plage De Dépée (Euronat)
2023,Hourtin,Gironde,Nouvelle-Aquitaine,beach,Hourtin Océan
2023,Hourtin,Gironde,Nouvelle-Aquitaine,beach,Lac: La Jetée (Plage Du Port)
2023,Hourtin,Gironde,Nouvelle-Aquitaine,beach,Lac: Piqueyrot
2023,Le Verdon-Sur-Mer,Gironde,Nouvelle-Aquitaine,beach,Plage De La Chambrette
2023,Le Verdon-Sur-Mer,Gironde,Nouvelle-Aquitaine,beach,Plage Océanne De Saint Nicolas
2023,Soulac Sur Mer,Gironde,Nouvelle-Aquitaine,beach,L'Amélie
2023,Soulac Sur Mer,Gironde,Nouvelle-Aquitaine,beach,Plage Des Naïades
2023,Soulac Sur Mer,Gironde,Nouvelle-Aquitaine,beach,Plage Centrale
2023,Montrejeau,Haute-Garonne,Occitanie,beach,Lac Montrejeau
2023,Champagnac Le Vieux,Haute-Loire,Auvergne-Rhône-Alpes,beach,Plage Du Plan D'Eau
2023,Le Bouchet-Saint-Nicolas,Haute-Loire,Auvergne-Rhône-Alpes,beach,Plage Du Lac Du Bouchet
