year,commune,department_name,department_number,region,beach_flag,port_flag,places
2018,CARSAC DE gurson,DORDOGNE,24,NOUVELLE-AQUITAINE,1,0,Gurson
2018,MALAFRETAZ,AIN,1,AUVERGNE-RHÔNE-ALPES,1,0,Plan d'eau
2018,VIEURE,ALLIER,3,AUVERGNE-RHÔNE-ALPES,1,0,Étang de Vieure
2018,SAINT-JUST D'ARDÈCHE,ARDÈCHE,7,AUVERGNE-RHÔNE-ALPES,1,0,d'Ardèche Ardèche à hauteur de l'ancien pont
2018,SAINT-MARTIN D'ARDÈCHE,ARDÈCHE,7,AUVERGNE-RHÔNE-ALPES,1,0,"Plage du Grain de sel, Plage de Sauze"
2018,TRÉMOUILLE,CANTAL,15,AUVERGNE-RHÔNE-ALPES,1,0,Lastioulles
2018,VALENCE,DRÔME,26,AUVERGNE-RHÔNE-ALPES,0,1,Port de l'Épervière
2018,LE BOUCHET-SAINT-NICOLAS,HAUTE-LOIRE,43,AUVERGNE-RHÔNE-ALPES,1,0,Baignade du Bouchet-Saint-Nicolas
2018,EXCENEVEX,HAUTE-SAVOIE,74,AUVERGNE-RHÔNE-ALPES,1,0,Ponton
2018,RIVES,HAUTE-SAVOIE,74,AUVERGNE-RHÔNE-ALPES,0,1,Port de plaisance de Rives
2018,SAINT-JORIOZ,HAUTE-SAVOIE,74,AUVERGNE-RHÔNE-ALPES,1,0,Plage municipale
2018,SCIEZ,HAUTE-SAVOIE,74,AUVERGNE-RHÔNE-ALPES,0,1,Port de Sciez
2018,THONON-LES-BAINS,HAUTE-SAVOIE,74,AUVERGNE-RHÔNE-ALPES,1,0,"Plage de Saint-Disdille, Plage du Centre Nautique"
2018,VEYRIER-DU-LAC,HAUTE-SAVOIE,74,AUVERGNE-RHÔNE-ALPES,1,0,Plage La Brune
2018,AYDAT,PUY-DE-DÔME,63,AUVERGNE-RHÔNE-ALPES,1,0,Base nautique
2018,CHAMBON-SUR-LAC,PUY-DE-DÔME,63,AUVERGNE-RHÔNE-ALPES,1,0,Plage Ouest du lac Chambon
2018,LA TOUR D'AUVERGNE,PUY-DE-DÔME,63,AUVERGNE-RHÔNE-ALPES,1,0,Plan d'eau
2018,MUROL,PUY-DE-DÔME,63,AUVERGNE-RHÔNE-ALPES,1,0,Lac Chambon plage Murol
2018,GRÉSY-SUR-ISÈRE,SAVOIE,73,AUVERGNE-RHÔNE-ALPES,1,0,Base de loisirs de Grésy-sur-Isère
2018,MACOT LA PLAGNE,SAVOIE,73,AUVERGNE-RHÔNE-ALPES,1,0,Plan d'eau des Versants d'Aime
2018,SAINT PIERRE D'ALBIGNY,SAVOIE,73,AUVERGNE-RHÔNE-ALPES,1,0,Plage du lac de Carouge
2018,ARNAY-LE-DUC,CÔTE-D'OR,21,BOURGOGNE-FRANCHE-COMTÉ,1,0,Étang Fouché
2018,BESANÇON,DOUBS,25,BOURGOGNE-FRANCHE-COMTÉ,0,1,Halte de Besançon (Moulin St Paul)
2018,DELUZ,DOUBS,25,BOURGOGNE-FRANCHE-COMTÉ,0,1,Halte fluviale de Deluz
2018,CLAIRVAUX-LES-LACS,JURA,39,BOURGOGNE-FRANCHE-COMTÉ,1,0,Plage du Grand Lac de Clairvaux
2018,DECIZE,NIÈVRE,58,BOURGOGNE-FRANCHE-COMTÉ,0,1,Port de Decize
2018,MONTSAUCHE-LES-SETTONS,NIÈVRE,58,BOURGOGNE-FRANCHE-COMTÉ,1,0,Base de loisirs Presqu'île
2018,BINIC,CÔTES-D'ARMOR,22,BRETAGNE,0,1,Port de Plaisance de Binic
2018,PAIMPOL,CÔTES-D'ARMOR,22,BRETAGNE,0,1,Port de Plaisance de Paimpol
2018,SAINT-QUAY-PORTRIEUX,CÔTES-D'ARMOR,22,BRETAGNE,0,1,Port de Saint-Quay-Portrieux
2018,TREVOU-TRÉGUIGNEC,CÔTES-D'ARMOR,22,BRETAGNE,1,0,Plage de Trestel
2018,CAMARET,FINISTÈRE,29,BRETAGNE,0,1,Port de Plaisance de Camaret
