year,commune,department_name,department_number,region,beach_flag,port_flag,places
2018,MALAFRETAZ,AIN,01,AUVERGNE-RHÔNE-ALPES,1,0,Plan d'eau
2018,VIEURE,ALLIER,03,AUVERGNE-RHÔNE-ALPES,1,0,Étang de Vieure
2018,SAINT-JUST D'ARDÈCHE,ARDÈCHE,07,AUVERGNE-RHÔNE-ALPES,1,0,d'Ardèche Ardèche à hauteur de l'ancien pont
2018,SAINT-MARTIN D'ARDÈCHE,ARDÈCHE,07,AUVERGNE-RHÔNE-ALPES,1,0,"Plage du Grain de sel, Plage de Sauze"
2018,TRÉMOUILLE,CANTAL,15,AUVERGNE-RHÔNE-ALPES,1,0,Lastioulles
2018,LE BOUCHET-SAINT-NICOLAS,HAUTE-LOIRE,43,AUVERGNE-RHÔNE-ALPES,1,0,Baignade du Bouchet-Saint-Nicolas
2018,AYDAT,PUY-DE-DÔME,63,AUVERGNE-RHÔNE-ALPES,1,0,Base nautique
2018,CHAMBON-SUR-LAC,PUY-DE-DÔME,63,AUVERGNE-RHÔNE-ALPES,1,0,Plage Ouest du lac Chambon
2018,LA T OUR D'AUVERGNE,PUY-DE-DÔME,63,AUVERGNE-RHÔNE-ALPES,1,0,Plan d'eau
2018,MUROL,PUY-DE-DÔME,63,AUVERGNE-RHÔNE-ALPES,1,0,Lac Chambon plage Murol
2018,GRÉSY-SUR-ISÈRE,SAVOIE,73,AUVERGNE-RHÔNE-ALPES,1,0,Base de loisirs de Grésy-sur-Isère
2018,MACOT LA PLAGNE - LA PLAGNE T ARENTAISE,SAVOIE,73,AUVERGNE-RHÔNE-ALPES,1,0,Plan d'eau des Versants d'Aime
2018,SAINT PIERRE D'ALBIGNY,SAVOIE,73,AUVERGNE-RHÔNE-ALPES,1,0,Plage du lac de Carouge
2018,EXCENEVEX,HAUTE-SAVOIE,74,AUVERGNE-RHÔNE-ALPES,1,0,Ponton
2018,SAINT-JORIOZ,HAUTE-SAVOIE,74,AUVERGNE-RHÔNE-ALPES,1,0,Plage municipale
2018,THONON-LES-BAINS,HAUTE-SAVOIE,74,AUVERGNE-RHÔNE-ALPES,1,0,"Plage de Saint-Disdille, Plage du Centre Nautique"
2018,VEYRIER-DU-LAC,HAUTE-SAVOIE,74,AUVERGNE-RHÔNE-ALPES,1,0,Plage La Brune
2018,CLAIRVAUX-LES-LACS,JURA,39,BOURGOGNE-FRANCHE-COMTÉ,1,0,Plage du Grand Lac de Clairvaux
2018,MONTSAUCHE-LES-SETTONS,NIÈVRE,58,BOURGOGNE-FRANCHE-COMTÉ,1,0,Base de loisirs Presqu'île
2018,TREVOU-TRÉGUIGNEC,CÔTES-D'ARMOR,22,BRETAGNE,1,0,Plage de Trestel
2018,CLOHARS-CARNOËT,FINISTÈRE,29,BRETAGNE,1,0,"Bellangenet, Grands Sables, Kerrou"
2018,FOUESNANT-LES,FINISTÈRE,29,BRETAGNE,1,0,"Glénan Cap Coz (milieu), Glenan Saint Nicolas, Kerambigorn, Kerler, Maner Coat Clevarec"
2018,LE CONQUET,FINISTÈRE,29,BRETAGNE,1,0,Pors Liogan
2018,MOELAN-SUR-MER,FINISTÈRE,29,BRETAGNE,1,0,"Kerfany, Trenez"
2018,NÉVEZ,FINISTÈRE,29,BRETAGNE,1,0,"Dourveil, Raguenes (milieu), Rospico, Saint-Nicolas"
2018,PLOUGASNOU,FINISTÈRE,29,BRETAGNE,1,0,Tregastel milieu
2018,PLOUHINEC,FINISTÈRE,29,BRETAGNE,1,0,"Gwendrez, Mesperleuc"
2018,POULDREUZIC,FINISTÈRE,29,BRETAGNE,1,0,Penhors (poste de secours)
2018,ROSCOFF,FINISTÈRE,29,BRETAGNE,1,0,Saint-Luc (Roch-kroum)
2018,SAINT POL DE LÉON,FINISTÈRE,29,BRETAGNE,1,0,Plage Sainte Anne large
2018,IFFENDIC,ILLE-ET-VILAINE,35,BRETAGNE,1,0,Lac de Trémelin
2018,SAINT-BRIAC,ILLE-ET-VILAINE,35,BRETAGNE,1,0,"sur Mer La Salinette, Port Hue"
2018,SAINT-LUNAIRE,ILLE-ET-VILAINE,35,BRETAGNE,1,0,"La Fosse aux Vaults, La Fourberie, La Grande Plage, Longchamp Est"
2018,CARNAC,MORBIHAN,56,BRETAGNE,1,0,"Saint-Colomban, Grande Plage"
2018,GUIDEL,MORBIHAN,56,BRETAGNE,1,1,"La Falaise, Le Loc'h, Pen er Malo, Port de Guidel"
2018,PLOUHINEC,MORBIHAN,56,BRETAGNE,1,0,"Kervegant, Le Magouero"
2018,EGUZON-CHANTÔME,INDRE,36,CENTRE-VAL DE LOIRE,1,0,Chambon A
2018,JOUÉ-LES-T OURS,INDRE-ET-LOIRE,37,CENTRE-VAL DE LOIRE,1,0,La baignade des Bretonnières
2018,VILLIERS-SUR-LOIR,LOIR-ET-CHER,41,CENTRE-VAL DE LOIRE,1,0,Étang intercommunal Zone de Bain
2018,CHARLEVILLE,ARDENNES,08,GRAND-EST,1,0,Mézières La Warenne
2018,MAZURES,ARDENNES,08,GRAND-EST,1,0,Les Vieilles-Forges
2018,DIENVILLE,AUBE,10,GRAND-EST,1,0,Dienville
2018,GÉRAUDOT,AUBE,10,GRAND-EST,1,0,Plage de Géraudot
2018,LUSIGNY-SUR-BARSE,AUBE,10,GRAND-EST,1,0,Plage de Lusigny-sur-Barse
2018,MESNIL-SAINT-PÈRE,AUBE,10,GRAND-EST,1,0,Mesnil-Saint-Père
2018,MONAMPTEUIL,AISNE,02,HAUTS-DE-FRANCE,1,0,Bassin de Monampteuil
2018,GRAVELINES,NORD,59,HAUTS-DE-FRANCE,1,0,Petit Fort Philippe
2018,BEAUVAIS,OISE,60,HAUTS-DE-FRANCE,1,0,Plan d'eau du Canada
2018,BERCK-SUR-MER,PAS-DE-CALAIS,62,HAUTS-DE-FRANCE,1,0,Plage centre
2018,CAYEUX-SUR-MER,SOMME,80,HAUTS-DE-FRANCE,1,0,Plage de la Ville
2018,ANNET,SEINE-ET-MARNE,77,ÎLE-DE-FRANCE,1,0,sur Marne Ile de Loisirs de Jablines-Annet
2018,SOUPPES SUR LOING,SEINE-ET-MARNE,77,ÎLE-DE-FRANCE,1,0,Base De Loisirs De Souppes Sur Loing
2018,COLLEVILLE-MONTGOMERY,CALVADOS,14,NORMANDIE,1,0,Poste de Surveillance
2018,COURSEULLES-SUR-MER DEVANT ACCÈS,CALVADOS,14,NORMANDIE,1,0,"Piscine, Île de plaisance"
2018,HONFLEUR,CALVADOS,14,NORMANDIE,1,0,Plage du Butin
